"","total","expected","hits","Raw p","Holm p","FDR"
"Amino acid transport across the plasma membrane",32,0.314,18,4.4e-30,1.46e-26,1.46e-26
"Amino acid transport defects (IEMs)",27,0.265,17,1.37e-29,4.54e-26,2.27e-26
"Transcription/Translation",25,0.245,16,5.46e-28,1.81e-24,6.04e-25
"Na+/Cl- dependent neurotransmitter transporters",32,0.314,17,8.93e-28,2.96e-24,7.4e-25
"Transport of inorganic cations/anions and amino acids/oligopeptides",52,0.51,19,3.65e-27,1.21e-23,2.42e-24
"Amino acid metabolism",109,1.07,23,5.81e-27,1.92e-23,3.21e-24
"SLC-mediated transmembrane transport",155,1.52,25,1.98e-26,6.56e-23,9.39e-24
"Transport of bile salts and organic acids, metal ions and amine compounds",76,0.746,20,2.52e-25,8.35e-22,1.05e-22
"Transport of small molecules",208,2.04,25,4.31e-23,1.43e-19,1.59e-20
"Cytosolic tRNA aminoacylation",66,0.648,17,3.28e-21,1.09e-17,9.08e-19
"tRNA Aminoacylation",66,0.648,17,3.28e-21,1.09e-17,9.08e-19
"Mitochondrial tRNA aminoacylation",66,0.648,17,3.28e-21,1.09e-17,9.08e-19
"Metabolism of amino acids and derivatives",283,2.78,26,4.46e-21,1.47e-17,1.14e-18
"Variant SLC6A14 may confer susceptibility towards obesity",15,0.147,11,2.6e-20,8.58e-17,6.16e-18
"SLC transporter disorders",80,0.785,17,1.22e-19,4.04e-16,2.71e-17
"Translation",83,0.814,17,2.42e-19,7.98e-16,5.01e-17
"Defective SLC6A19 causes Hartnup disorder (HND)",13,0.128,10,7.31e-19,2.41e-15,1.43e-16
"Disorders of transmembrane transporters",98,0.961,17,4.99e-18,1.64e-14,9.18e-16
"Biochemical pathways: part I",445,4.37,26,4.74e-16,1.56e-12,8.27e-14
"Glucose homeostasis",21,0.206,10,8.54e-16,2.82e-12,1.42e-13
"Tryptophan catabolism",33,0.324,11,3.27e-15,1.08e-11,5.05e-13
"Amikacin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Arbekacin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Azithromycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Chloramphenicol Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Clarithromycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Clindamycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Clomocycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Demeclocycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Doxycycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Erythromycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Gentamicin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Josamycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Kanamycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Lincomycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Lymecycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Methacycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Minocycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Neomycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Netilmicin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Oxytetracycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Paromomycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Rolitetracycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Roxithromycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Spectinomycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Streptomycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Telithromycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Tetracycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Tigecycline Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Tobramycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Troleandomycin Action Pathway",17,0.167,9,7.77e-15,2.56e-11,5.05e-13
"Metabolism of proteins",295,2.89,21,2.89e-14,9.44e-11,1.84e-12
"mRNA, protein, and metabolite inducation pathway by cyclosporin A",13,0.128,8,5.27e-14,1.72e-10,3.3e-12
"Biomarkers for urea cycle disorders",22,0.216,8,1.23e-11,4.01e-08,7.55e-10
"Urea cycle and metabolism of amino groups",34,0.334,9,1.49e-11,4.85e-08,8.97e-10
"Metabolism",1370,13.4,34,7.07e-11,2.31e-07,4.19e-09
"Trans-sulfuration, one-carbon metabolism and related pathways",58,0.569,9,2.55e-09,8.32e-06,1.49e-07
"Biogenic amine synthesis",17,0.167,6,7.04e-09,2.29e-05,4.02e-07
"Argininemia",22,0.216,6,4.09e-08,0.000133,2.15e-06
"Argininosuccinic Aciduria",22,0.216,6,4.09e-08,0.000133,2.15e-06
"Carbamoyl Phosphate Synthetase Deficiency",22,0.216,6,4.09e-08,0.000133,2.15e-06
"Citrullinemia Type I",22,0.216,6,4.09e-08,0.000133,2.15e-06
"Ornithine Transcarbamylase Deficiency (OTC Deficiency)",22,0.216,6,4.09e-08,0.000133,2.15e-06
"Glycine, serine and threonine metabolism",56,0.549,8,4.29e-08,0.000139,2.22e-06
"Nitrogen metabolism",25,0.245,6,9.5e-08,0.000309,4.85e-06
"G alpha (q) signalling events",63,0.618,8,1.11e-07,0.000361,5.54e-06
"Disease",470,4.61,18,1.12e-07,0.000364,5.54e-06
"Spermidine and Spermine Biosynthesis",14,0.137,5,1.33e-07,0.000434,6.41e-06
"Urea cycle and related diseases",14,0.137,5,1.33e-07,0.000434,6.41e-06
"Urea cycle and associated pathways",30,0.294,6,3.07e-07,0.000998,1.46e-05
"Arginine and proline metabolism",49,0.481,7,3.29e-07,0.00107,1.54e-05
"T cell modulation in pancreatic cancer",8,0.0785,4,5.45e-07,0.00177,2.51e-05
