"","total","expected","hits","Raw p","Holm p","FDR"
"Amino acid transport across the plasma membrane",32,0.329,18,1.27e-29,4.22e-26,4.22e-26
"Amino acid transport defects (IEMs)",27,0.278,17,3.67e-29,1.22e-25,6.09e-26
"Transcription/Translation",25,0.257,16,1.36e-27,4.51e-24,1.5e-24
"Na+/Cl- dependent neurotransmitter transporters",32,0.329,17,2.39e-27,7.92e-24,1.98e-24
"Transport of inorganic cations/anions and amino acids/oligopeptides",52,0.534,19,1.13e-26,3.75e-23,7.52e-24
"Amino acid metabolism",109,1.12,23,2.52e-26,8.33e-23,1.39e-23
"SLC-mediated transmembrane transport",155,1.59,25,1.03e-25,3.42e-22,4.89e-23
"Transport of bile salts and organic acids, metal ions and amine compounds",76,0.781,20,8.44e-25,2.79e-21,3.5e-22
"Transport of small molecules",208,2.14,25,2.19e-22,7.25e-19,8.08e-20
"Cytosolic tRNA aminoacylation",66,0.678,17,8.66e-21,2.86e-17,2.39e-18
"tRNA Aminoacylation",66,0.678,17,8.66e-21,2.86e-17,2.39e-18
"Mitochondrial tRNA aminoacylation",66,0.678,17,8.66e-21,2.86e-17,2.39e-18
"Metabolism of amino acids and derivatives",283,2.91,26,2.45e-20,8.08e-17,6.24e-18
"Variant SLC6A14 may confer susceptibility towards obesity",15,0.154,11,4.65e-20,1.54e-16,1.1e-17
"SLC transporter disorders",80,0.822,17,3.21e-19,1.06e-15,7.09e-17
"Translation",83,0.853,17,6.33e-19,2.09e-15,1.31e-16
"Defective SLC6A19 causes Hartnup disorder (HND)",13,0.134,10,1.23e-18,4.06e-15,2.4e-16
"Disorders of transmembrane transporters",98,1.01,17,1.3e-17,4.27e-14,2.39e-15
"Glucose homeostasis",21,0.216,10,1.43e-15,4.73e-12,2.5e-13
"Biochemical pathways: part I",445,4.57,26,2.4e-15,7.91e-12,3.98e-13
"Tryptophan catabolism",33,0.339,11,5.8e-15,1.91e-11,8e-13
"Amikacin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Arbekacin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Azithromycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Chloramphenicol Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Clarithromycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Clindamycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Clomocycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Demeclocycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Doxycycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Erythromycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Gentamicin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Josamycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Kanamycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Lincomycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Lymecycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Methacycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Minocycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Neomycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Netilmicin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Oxytetracycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Paromomycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Rolitetracycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Roxithromycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Spectinomycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Streptomycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Telithromycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Tetracycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Tigecycline Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Tobramycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"Troleandomycin Action Pathway",17,0.175,9,1.23e-14,4.06e-11,8e-13
"mRNA, protein, and metabolite inducation pathway by cyclosporin A",13,0.134,8,7.9e-14,2.58e-10,5.04e-12
"Metabolism of proteins",295,3.03,21,9.52e-14,3.11e-10,5.96e-12
"Biomarkers for urea cycle disorders",22,0.226,8,1.84e-11,5.99e-08,1.13e-09
"Urea cycle and metabolism of amino groups",34,0.349,9,2.34e-11,7.64e-08,1.41e-09
"Metabolism",1370,14.1,34,7.19e-10,2.34e-06,4.25e-08
"Trans-sulfuration, one-carbon metabolism and related pathways",58,0.596,9,3.98e-09,1.3e-05,2.31e-07
"Biogenic amine synthesis",17,0.175,6,9.43e-09,3.07e-05,5.39e-07
"Argininemia",22,0.226,6,5.47e-08,0.000178,2.88e-06
"Argininosuccinic Aciduria",22,0.226,6,5.47e-08,0.000178,2.88e-06
"Carbamoyl Phosphate Synthetase Deficiency",22,0.226,6,5.47e-08,0.000178,2.88e-06
"Citrullinemia Type I",22,0.226,6,5.47e-08,0.000178,2.88e-06
"Ornithine Transcarbamylase Deficiency (OTC Deficiency)",22,0.226,6,5.47e-08,0.000178,2.88e-06
"Glycine, serine and threonine metabolism",56,0.576,8,6.31e-08,0.000205,3.27e-06
"Nitrogen metabolism",25,0.257,6,1.27e-07,0.000413,6.47e-06
"G alpha (q) signalling events",63,0.648,8,1.63e-07,0.00053,8.19e-06
"Spermidine and Spermine Biosynthesis",14,0.144,5,1.7e-07,0.000552,8.28e-06
"Urea cycle and related diseases",14,0.144,5,1.7e-07,0.000552,8.28e-06
"Disease",470,4.83,18,2.64e-07,0.000857,1.27e-05
"Urea cycle and associated pathways",30,0.308,6,4.09e-07,0.00133,1.94e-05
"Arginine and proline metabolism",49,0.504,7,4.59e-07,0.00149,2.15e-05
"T cell modulation in pancreatic cancer",8,0.0822,4,6.6e-07,0.00214,3.04e-05
"Creatine pathway",18,0.185,5,7.05e-07,0.00229,3.2e-05
"Alanine, aspartate and glutamate metabolism",58,0.596,7,1.5e-06,0.00487,6.73e-05
"Metabolism of polyamines",21,0.216,5,1.64e-06,0.0053,7.23e-05
"Urea cycle",22,0.226,5,2.1e-06,0.00681,9.17e-05
"MECP2 and associated Rett syndrome",11,0.113,4,3.04e-06,0.00985,0.000131
"Defective SLC3A1 causes cystinuria (CSNU)",4,0.0411,3,4.03e-06,0.013,0.000161
"Defective SLC7A9 causes cystinuria (CSNU)",4,0.0411,3,4.03e-06,0.013,0.000161
"Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)",44,0.452,6,4.37e-06,0.0142,0.000161
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",44,0.452,6,4.37e-06,0.0142,0.000161
"Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)",44,0.452,6,4.37e-06,0.0142,0.000161
"Hyperornithinemia with gyrate atrophy (HOGA)",44,0.452,6,4.37e-06,0.0142,0.000161
"Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]",44,0.452,6,4.37e-06,0.0142,0.000161
"Hyperprolinemia Type I",44,0.452,6,4.37e-06,0.0142,0.000161
"Hyperprolinemia Type II",44,0.452,6,4.37e-06,0.0142,0.000161
"L-arginine:glycine amidinotransferase deficiency",44,0.452,6,4.37e-06,0.0142,0.000161
"Ornithine Aminotransferase Deficiency (OAT Deficiency)",44,0.452,6,4.37e-06,0.0142,0.000161
"Prolidase Deficiency (PD)",44,0.452,6,4.37e-06,0.0142,0.000161
"Prolinemia Type II",44,0.452,6,4.37e-06,0.0142,0.000161
"Protein repair",12,0.123,4,4.53e-06,0.0146,0.000165
"Methionine de novo and salvage pathway",48,0.493,6,7.37e-06,0.0238,0.000266
"3-Phosphoglycerate dehydrogenase deficiency",49,0.504,6,8.34e-06,0.0269,0.000282
"Dihydropyrimidine Dehydrogenase Deficiency (DHPD)",49,0.504,6,8.34e-06,0.0269,0.000282
"Dimethylglycine Dehydrogenase Deficiency",49,0.504,6,8.34e-06,0.0269,0.000282
"Hyperglycinemia, non-ketotic",49,0.504,6,8.34e-06,0.0269,0.000282
"Non Ketotic Hyperglycinemia",49,0.504,6,8.34e-06,0.0269,0.000282
"Sarcosinemia",49,0.504,6,8.34e-06,0.0269,0.000282
"Sudden infant death syndrome (SIDS) susceptibility pathways",14,0.144,4,9.02e-06,0.029,0.000302
"Methionine Metabolism",51,0.524,6,1.06e-05,0.034,0.000348
"Canavan Disease",30,0.308,5,1.07e-05,0.0344,0.000348
"Hypoacetylaspartia",30,0.308,5,1.07e-05,0.0344,0.000348
"Creatine metabolism",15,0.154,4,1.22e-05,0.0392,0.000393
"Aspartate Metabolism",31,0.319,5,1.27e-05,0.0407,0.000404
"Metabolism overview",116,1.19,8,1.79e-05,0.0575,0.000565
"Ras activation upon Ca2+ influx through NMDA receptor",6,0.0617,3,1.98e-05,0.0637,0.000609
"Negative regulation of NMDA receptor-mediated neuronal transmission",6,0.0617,3,1.98e-05,0.0637,0.000609
"Long-term potentiation",6,0.0617,3,1.98e-05,0.0637,0.000609
"Amino acid metabolism pathway excerpt: histidine catabolism extension",17,0.175,4,2.1e-05,0.0673,0.000638
"GPCR downstream signalling",156,1.6,9,2.13e-05,0.0685,0.000643
"Glutaminolysis and Cancer",35,0.36,5,2.35e-05,0.0752,0.000701
"Signal Transduction",345,3.55,13,2.51e-05,0.0804,0.000743
"Amine Oxidase reactions",18,0.185,4,2.68e-05,0.0857,0.000785
"Cystathionine Beta-Synthase Deficiency",37,0.38,5,3.1e-05,0.0994,0.000857
"Glycine N-methyltransferase Deficiency",37,0.38,5,3.1e-05,0.0994,0.000857
"Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type",37,0.38,5,3.1e-05,0.0994,0.000857
"Hypermethioninemia",37,0.38,5,3.1e-05,0.0994,0.000857
"Methionine Adenosyltransferase Deficiency",37,0.38,5,3.1e-05,0.0994,0.000857
"Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)",37,0.38,5,3.1e-05,0.0994,0.000857
"S-Adenosylhomocysteine (SAH) Hydrolase Deficiency",37,0.38,5,3.1e-05,0.0994,0.000857
"Unblocking of NMDA receptors, glutamate binding and activation",7,0.0719,3,3.45e-05,0.11,0.000945
"Cysteine and methionine catabolism",39,0.401,5,4.04e-05,0.129,0.0011
"Phenylalanine metabolism",20,0.206,4,4.17e-05,0.133,0.00113
"Alanine and aspartate metabolism",21,0.216,4,5.12e-05,0.163,0.00137
"Pyrimidine metabolism and related diseases",43,0.442,5,6.54e-05,0.209,0.00174
"Glutamate and glutamine metabolism",23,0.236,4,7.46e-05,0.238,0.00195
"Tryptophan catabolism leading to NAD+ production",23,0.236,4,7.46e-05,0.238,0.00195
"Nitric oxide metabolism in cystic fibrosis",9,0.0925,3,8.15e-05,0.26,0.00211
"Aspartate and asparagine metabolism",24,0.247,4,8.88e-05,0.283,0.00225
"NAD biosynthesis II (from tryptophan)",24,0.247,4,8.88e-05,0.283,0.00225
"Serine metabolism",24,0.247,4,8.88e-05,0.283,0.00225
"Protein-protein interactions at synapses",2,0.0206,2,0.000103,0.329,0.00254
